chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
QCOM,2020-09-18,119.0000,call,buy,2020-09-15T15:54:00.631311Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,120.0000,call,sell,2020-09-15T15:54:00.631311Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,108.0000,put,sell,2020-09-15T15:54:00.631311Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,109.0000,put,buy,2020-09-15T15:54:00.631311Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,119.0000,call,buy,2020-09-15T15:52:58.846978Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,120.0000,call,sell,2020-09-15T15:52:58.846978Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,108.0000,put,sell,2020-09-15T15:52:58.846978Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
QCOM,2020-09-18,109.0000,put,buy,2020-09-15T15:52:58.846978Z,debit,1.00000,limit,,iron_condor,0.28000000,1.00000
BABA,2020-09-18,265.0000,put,buy,2020-09-14T14:02:33.594852Z,credit,4.00000,limit,iron_condor,,1.30000000,4.00000
BABA,2020-09-18,267.5000,put,sell,2020-09-14T14:02:33.594852Z,credit,4.00000,limit,iron_condor,,1.30000000,4.00000
BABA,2020-09-18,285.0000,call,sell,2020-09-14T14:02:33.594852Z,credit,4.00000,limit,iron_condor,,1.30000000,4.00000
BABA,2020-09-18,290.0000,call,buy,2020-09-14T14:02:33.594852Z,credit,4.00000,limit,iron_condor,,1.30000000,4.00000
SPY,2020-09-14,326.0000,put,sell,2020-09-14T13:41:50.571871Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,351.0000,call,sell,2020-09-14T13:41:50.571871Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,350.0000,call,buy,2020-09-14T13:41:50.571871Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,327.0000,put,buy,2020-09-14T13:41:50.571871Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,326.0000,put,sell,2020-09-14T13:41:40.774411Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,351.0000,call,sell,2020-09-14T13:41:40.774411Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,350.0000,call,buy,2020-09-14T13:41:40.774411Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
SPY,2020-09-14,327.0000,put,buy,2020-09-14T13:41:40.774411Z,debit,1.00000,limit,,iron_condor,0.01000000,1.00000
